Country	Code	a	b	Deaths	Deaths_Doubling_Time	Factor at t+1	Deaths at t+1	Factor at t+7	Deaths at t+7
Austria	AT	128	130.240	0.211	3.280	1.235	158	4.390	561
Belgium	BE	705	684.581	0.227	3.060	1.254	884	4.882	3442
Canada	CA	101	99.024	0.182	3.799	1.200	121	3.586	362
Czechia	CZ	31	30.555	0.296	2.342	1.344	41	7.941	246
Denmark	DK	90	91.935	0.147	4.702	1.159	104	2.807	252
Finland	FI	17	17.082	0.239	2.900	1.270	21	5.329	90
France	FR	3532	3542.954	0.150	4.615	1.162	4104	2.861	10106
Germany	DE	775	788.411	0.210	3.304	1.233	955	4.342	3364
Greece	GR	49	49.013	0.134	5.180	1.143	56	2.551	125
Hungary	HU	16	15.860	0.095	7.276	1.100	17	1.948	31
Iran	IR	2898	2919.445	0.054	12.937	1.055	3057	1.455	4216
Italy	IT	12428	12584.993	0.083	8.382	1.086	13499	1.784	22172
Japan	JP	56	56.683	0.036	19.213	1.037	58	1.287	72
Netherlands	NL	1040	1045.413	0.169	4.094	1.184	1231	3.271	3401
Portugal	PT	160	166.532	0.195	3.561	1.215	194	3.907	625
South Korea	KR	162	163.909	0.043	16.091	1.044	169	1.352	219
Spain	ES	8464	8692.025	0.134	5.161	1.144	9680	2.560	21670
Sweden	SE	180	173.859	0.164	4.221	1.178	212	3.157	568
Switzerland	CH	433	428.494	0.165	4.209	1.179	510	3.167	1371
Turkey	TR	214	210.374	0.215	3.222	1.240	265	4.509	964
United Kingdom	GB	2429	2467.329	0.195	3.546	1.216	2953	3.928	9541
United States	US	5367	5340.130	0.224	3.091	1.251	6716	4.805	25790
