Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	898	496	55.2		
2020-04-23	946	530	56.0		
2020-04-24	1159	672	58.0	30	2.6
2020-04-25	1159	669	57.7	30	2.6
2020-04-26	1096	651	59.4		
2020-04-27	1103	670	60.7	24	2.2
2020-04-28	1157	697	60.2	24	2.1
2020-04-29	1151	713	61.9	23	2.0
2020-04-30	1155	719	62.3	22	1.9
2020-05-01	1183	712	60.2	17	1.4
2020-05-02	1148	672	58.5	16	1.4
2020-05-03	1024	584	57.0	15	1.5
2020-05-04	1022	581	56.8	15	1.5
2020-05-05	1149	701	61.0	20	1.7
2020-05-06	1144	696	60.8	20	1.7
2020-05-07	1141	698	61.2	20	1.8
2020-05-08	1141	706	61.9	20	1.8
2020-05-09	1065	659	61.9	19	1.8
2020-05-10	1056	644	61.0	19	1.8
2020-05-11	1035	632	61.1	18	1.7
2020-05-12	1018	653	64.1	19	1.9
2020-05-13	1057	679	64.2	15	1.4
2020-05-14	1060	675	63.7	15	1.4
2020-05-15	1072	685	63.9	16	1.5
2020-05-16	1052	708	67.3	14	1.3
2020-05-17	1041	690	66.3	14	1.3
2020-05-18	1043	659	63.2	13	1.2
2020-05-19	1048	657	62.7	13	1.2
2020-05-20	1048	690	65.8	9	0.9
2020-05-21	1053	697	66.2	9	0.9
2020-05-22	1052	696	66.2	12	1.1
2020-05-23	1087	693	63.8	9	0.8
2020-05-24	1080	665	61.6	8	0.7
2020-05-25	1037	642	61.9	7	0.7
2020-05-26	1088	675	62.0	5	0.5
2020-05-27	1099	685	62.3	4	0.4
2020-05-28	1106	683	61.8	4	0.4
2020-05-29	1115	689	61.8	4	0.4
2020-05-30	1110	689	62.1	4	0.4
2020-05-31	1097	674	61.4	7	0.6
2020-06-01	1070	648	60.6	7	0.7
2020-06-02	1076	649	60.3	9	0.8
2020-06-03	1119	679	60.7	10	0.9
2020-06-04	1100	696	63.3	8	0.7
2020-06-05	1103	710	64.4	9	0.8
2020-06-06	1100	692	62.9	8	0.7
2020-06-07	1100	691	62.8	8	0.7
2020-06-08	1027	644	62.7	9	0.9
2020-06-09	1102	703	63.8	8	0.7
2020-06-11	1109	718	64.7	6	0.5
2020-06-12	1109	718	64.7	6	0.5
2020-06-13	1110	730	65.8	6	0.5
2020-06-14	1105	709	64.2	7	0.6
2020-06-15	1029	652	63.4	6	0.6
2020-06-16	1112	670	60.3	6	0.5
2020-06-17	1113	691	62.1	6	0.5
2020-06-18	1107	684	61.8	6	0.5
2020-06-19	1110	693	62.4	6	0.5
2020-06-20	1061	685	64.6	6	0.6
2020-06-21	1058	670	63.3	5	0.5
2020-06-22	1043	639	61.3	4	0.4
2020-06-23	1119	691	61.8	5	0.4
2020-06-24	1108	710	64.1	4	0.4
2020-06-25	1116	694	62.2	4	0.4
2020-06-26	1117	705	63.1	4	0.4
2020-06-27	1110	734	66.1	4	0.4
2020-06-28	1097	697	63.5	4	0.4
2020-06-29	1067	672	63.0	4	0.4
2020-06-30	1101	680	61.8	3	0.3
2020-07-01	1122	727	64.8	3	0.3
2020-07-02	1122	729	65.0	3	0.3
2020-07-03	1102	717	65.1	3	0.3
2020-07-04	1076	713	66.3	3	0.3
2020-07-05	1104	695	63.0	3	0.3
2020-07-06	1062	670	63.1	3	0.3
2020-07-07	1120	717	64.0	3	0.3
2020-07-08	1119	725	64.8	3	0.3
2020-07-09	1118	727	65.0	3	0.3
2020-07-10	1132	735	64.9	2	0.2
2020-07-11	1127	731	64.9	3	0.3
2020-07-12	1126	706	62.7	2	0.2
2020-07-13	1086	669	61.6	2	0.2
2020-07-14	1125	713	63.4	2	0.2
2020-07-15	1121	728	64.9	2	0.2
2020-07-16	1123	730	65.0	1	0.1
2020-07-17	1118	727	65.0	1	0.1
2020-07-18	1115	702	63.0	1	0.1
2020-07-19	1110	700	63.1	1	0.1
2020-07-20	1068	661	61.9	1	0.1
2020-07-21	1089	657	60.3	1	0.1
2020-07-22	1111	688	61.9	1	0.1
2020-07-23	1110	714	64.3	1	0.1
2020-07-24	1121	700	62.4	1	0.1
2020-07-25	1123	708	63.0	2	0.2
2020-07-26	1119	716	64.0	3	0.3
2020-07-27	1063	670	63.0	3	0.3
2020-07-28	1114	683	61.3	3	0.3
2020-07-29	944	561	59.4	3	0.3
2020-07-30	1177	718	61.0	3	0.3
2020-07-31	1164	719	61.8	3	0.3
2020-08-01	1168	711	60.9	2	0.2
2020-08-02	1177	717	60.9	3	0.3
2020-08-03	1080	648	60.0	3	0.3
2020-08-04	1158	708	61.1	3	0.3
2020-08-05	1158	708	61.1	3	0.3
