Date	Landkreise mit Inzidenz (Cases_Last_Week_Per_100000) > 50
2020-01-02	0
2020-01-03	0
2020-01-04	0
2020-01-05	0
2020-01-06	0
2020-01-07	0
2020-01-08	0
2020-01-09	0
2020-01-10	0
2020-01-11	0
2020-01-12	0
2020-01-13	0
2020-01-14	0
2020-01-15	0
2020-01-16	0
2020-01-17	0
2020-01-18	0
2020-01-19	0
2020-01-20	0
2020-01-21	0
2020-01-22	0
2020-01-23	0
2020-01-24	0
2020-01-25	0
2020-01-26	0
2020-01-27	0
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	0
2020-02-04	0
2020-02-05	0
2020-02-06	0
2020-02-07	0
2020-02-08	0
2020-02-09	0
2020-02-10	0
2020-02-11	0
2020-02-12	0
2020-02-13	0
2020-02-14	0
2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	1
2020-03-05	1
2020-03-06	1
2020-03-07	1
2020-03-08	1
2020-03-09	1
2020-03-10	1
2020-03-11	1
2020-03-12	1
2020-03-13	1
2020-03-14	1
2020-03-15	1
2020-03-16	1
2020-03-17	4
2020-03-18	5
2020-03-19	12
2020-03-20	23
2020-03-21	34
2020-03-22	41
2020-03-23	45
2020-03-24	54
2020-03-25	71
2020-03-26	83
2020-03-27	95
2020-03-28	105
2020-03-29	111
2020-03-30	111
2020-03-31	121
2020-04-01	127
2020-04-02	120
2020-04-03	134
2020-04-04	135
2020-04-05	128
2020-04-06	125
2020-04-07	121
2020-04-08	126
2020-04-09	111
2020-04-10	91
2020-04-11	76
2020-04-12	78
2020-04-13	69
2020-04-14	54
2020-04-15	46
2020-04-16	41
2020-04-17	41
2020-04-18	31
2020-04-19	30
2020-04-20	32
2020-04-21	32
2020-04-22	28
2020-04-23	24
2020-04-24	21
2020-04-25	18
2020-04-26	16
2020-04-27	13
2020-04-28	12
2020-04-29	8
2020-04-30	7
2020-05-01	4
2020-05-02	4
2020-05-03	2
2020-05-04	2
2020-05-05	2
2020-05-06	2
2020-05-07	5
2020-05-08	4
2020-05-09	5
2020-05-10	4
2020-05-11	3
2020-05-12	4
2020-05-13	5
2020-05-14	5
2020-05-15	6
2020-05-16	4
2020-05-17	5
2020-05-18	2
2020-05-19	3
2020-05-20	1
2020-05-21	1
2020-05-22	1
2020-05-23	0
2020-05-24	1
2020-05-25	1
2020-05-26	1
2020-05-27	1
2020-05-28	2
2020-05-29	2
2020-05-30	1
2020-05-31	1
2020-06-01	1
2020-06-02	1
2020-06-03	0
2020-06-04	1
2020-06-05	1
2020-06-06	0
2020-06-07	0
2020-06-08	0
2020-06-09	0
2020-06-10	1
2020-06-11	1
2020-06-12	1
2020-06-13	1
2020-06-14	1
2020-06-15	1
2020-06-16	0
2020-06-17	1
2020-06-18	1
2020-06-19	2
2020-06-20	2
2020-06-21	2
2020-06-22	2
2020-06-23	3
2020-06-24	2
2020-06-25	2
2020-06-26	1
2020-06-27	1
2020-06-28	1
2020-06-29	1
2020-06-30	1
2020-07-01	1
2020-07-02	1
2020-07-03	1
2020-07-04	1
2020-07-05	1
2020-07-06	0
2020-07-07	0
2020-07-08	0
2020-07-09	0
2020-07-10	0
2020-07-11	0
2020-07-12	0
2020-07-13	0
2020-07-14	0
2020-07-15	0
2020-07-16	0
2020-07-17	0
2020-07-18	0
2020-07-19	0
2020-07-20	0
2020-07-21	0
2020-07-22	0
2020-07-23	0
2020-07-24	0
2020-07-25	1
2020-07-26	1
2020-07-27	1
2020-07-28	1
2020-07-29	1
2020-07-30	1
2020-07-31	1
2020-08-01	1
2020-08-02	1
2020-08-03	1
2020-08-04	1
2020-08-05	1
2020-08-06	1
2020-08-07	1
2020-08-08	1
2020-08-09	1
2020-08-10	1
2020-08-11	1
2020-08-12	1
2020-08-13	1
2020-08-14	1
2020-08-15	1
2020-08-16	1
2020-08-17	0
