	Covid_Fälle	Covid_Fälle_Proz	Covid_Tote	Covid_Tote_Proz	Bevölkerung	Bev_Proz	ICU	ICU_Proz
0-4	931138.0	2.7						
0-9	2930812.0	8.4	42.0	0.049	7589000.0	9.1	10.0	0.7
10-14	2221666.0	6.4						
10-19	4338702.0	12.5	32.0	0.037	7706000.0	9.3	10.0	0.7
15-19	2117036.0	6.1						
20-	7269514.0	20.9	74.0	0.086	15295000.0	18.4	20.0	1.4
20-24	2392654.0	6.9						
20-29	4996350.0	14.4	74.0	0.086	9801000.0	11.8	24.0	1.7
20-40	10878178.0	31.3	391.0	0.453	20447000.0	24.6	73.0	5.3
25-29	2603696.0	7.5						
30-	12265864.0	35.3	148.0	0.171	25096000.0	30.2	44.0	3.2
30-34	2966732.0	8.5						
30-39	5881828.0	16.9	317.0	0.367	10646000.0	12.8	49.0	3.5
35-39	2915096.0	8.4						
40-	18147692.0	52.3	465.0	0.538	35742000.0	43.1	93.0	6.7
40-44	2753224.0	7.9						
40-49	5136151.0	14.8	905.0	1.048	10426000.0	12.6	99.0	7.1
45-49	2382927.0	6.9						
5-9	1999674.0	5.8						
50-54	2724790.0	7.9						
50-59	5485866.0	15.8	3215.0	3.722	13474000.0	16.2	226.0	16.3
55-59	2761076.0	8.0						
60-64	1996576.0	5.8						
60-69	3113838.0	9.0	8191.0	9.484	10302000.0	12.4	360.0	25.9
65-69	1117262.0	3.2						
70-74	843609.0	2.4						
70-79	1447373.0	4.2	16098.0	18.638	7686000.0	9.3	354.0	25.5
75-79	603764.0	1.7						
80+	1344252.0	3.9	52215.0	60.454	5390000.0	6.5	260.0	18.7
80-84	672784.0	1.9						
80-89	1088750.0	3.1	35704.0	41.338				
85-89	415966.0	1.2						
90+	255502.0	0.7	16511.0	19.116				
